#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.159000000000000E+01  0.215065837474974E+00  0.234436316880457E-01  0.459513733791213E+01  0.500901066253884E+00
     0.160000000000000E+01  0.214975810163361E+00  0.235938630583012E-01  0.459632191397883E+01  0.504452057782117E+00
     0.161000000000000E+01  0.214885053570115E+00  0.237440200358280E-01  0.459751763394967E+01  0.508009044844780E+00
     0.162000000000000E+01  0.214793558771179E+00  0.238941041478465E-01  0.459872468699797E+01  0.511572168397566E+00
     0.163000000000000E+01  0.214701316792127E+00  0.240441171727025E-01  0.459994326226196E+01  0.515141576391422E+00
     0.164000000000000E+01  0.214608318616309E+00  0.241940611417472E-01  0.460117354862953E+01  0.518717423802942E+00
     0.165000000000000E+01  0.214514555193046E+00  0.243439383408812E-01  0.460241573452263E+01  0.522299872656625E+00
     0.166000000000000E+01  0.214420017445860E+00  0.244937513117596E-01  0.460367000768142E+01  0.525889092038837E+00
     0.167000000000000E+01  0.214324696280752E+00  0.246435028526582E-01  0.460493655494857E+01  0.529485258103579E+00
     0.168000000000000E+01  0.214228582594461E+00  0.247931960189993E-01  0.460621556205436E+01  0.533088554070150E+00
     0.169000000000000E+01  0.214131667282728E+00  0.249428341235385E-01  0.460750721340282E+01  0.536699170212754E+00
     0.170000000000000E+01  0.214033941248538E+00  0.250924207362154E-01  0.460881169185906E+01  0.540317303842137E+00
     0.171000000000000E+01  0.213935395410314E+00  0.252419596836679E-01  0.461012917853851E+01  0.543943159279384E+00
     0.172000000000000E+01  0.213836020710050E+00  0.253914550484173E-01  0.461145985259853E+01  0.547576947822118E+00
     0.173000000000000E+01  0.213735808121385E+00  0.255409111677253E-01  0.461280389103205E+01  0.551218887703073E+00
     0.174000000000000E+01  0.213634748657563E+00  0.256903326321309E-01  0.461416146846461E+01  0.554869204041449E+00
     0.175000000000000E+01  0.213532833379315E+00  0.258397242836715E-01  0.461553275695418E+01  0.558528128787069E+00
     0.176000000000000E+01  0.213430053402600E+00  0.259890912137958E-01  0.461691792579471E+01  0.562195900657663E+00
     0.177000000000000E+01  0.213326399906227E+00  0.261384387609773E-01  0.461831714132334E+01  0.565872765069467E+00
     0.178000000000000E+01  0.213221864139316E+00  0.262877725080340E-01  0.461973056673194E+01  0.569558974061457E+00
     0.179000000000000E+01  0.213116437428611E+00  0.264370982791677E-01  0.462115836188269E+01  0.573254786213357E+00
     0.180000000000000E+01  0.213010111185604E+00  0.265864221367285E-01  0.462260068312868E+01  0.576960466557864E+00
     0.181000000000000E+01  0.212902876913495E+00  0.267357503777185E-01  0.462405768313888E+01  0.580676286487215E+00
     0.182000000000000E+01  0.212794726213926E+00  0.268850895300432E-01  0.462552951072878E+01  0.584402523654564E+00
     0.183000000000000E+01  0.212685650793534E+00  0.270344463485240E-01  0.462701631069573E+01  0.588139461870327E+00
     0.184000000000000E+01  0.212575642470266E+00  0.271838278106831E-01  0.462851822366023E+01  0.591887390993951E+00
     0.185000000000000E+01  0.212464693179482E+00  0.273332411123132E-01  0.463003538591240E+01  0.595646606821294E+00
     0.186000000000000E+01  0.212352794979815E+00  0.274826936628457E-01  0.463156792926450E+01  0.599417410968085E+00
     0.187000000000000E+01  0.212239940058783E+00  0.276321930805302E-01  0.463311598090924E+01  0.603200110749733E+00
     0.188000000000000E+01  0.212126120738159E+00  0.277817471874382E-01  0.463467966328414E+01  0.606995019057825E+00
     0.189000000000000E+01  0.212011329479089E+00  0.279313640043066E-01  0.463625909394161E+01  0.610802454233618E+00
     0.190000000000000E+01  0.211895558886931E+00  0.280810517452331E-01  0.463785438542566E+01  0.614622739939014E+00
     0.191000000000000E+01  0.211778801715848E+00  0.282308188122392E-01  0.463946564515433E+01  0.618456205025164E+00
     0.192000000000000E+01  0.211661050873120E+00  0.283806737897133E-01  0.464109297530849E+01  0.622303183399190E+00
     0.193000000000000E+01  0.211542299423181E+00  0.285306254387503E-01  0.464273647272682E+01  0.626164013889312E+00
     0.194000000000000E+01  0.211422540591398E+00  0.286806826913997E-01  0.464439622880684E+01  0.630039040108680E+00
     0.195000000000000E+01  0.211301767767552E+00  0.288308546448389E-01  0.464607232941220E+01  0.633928610318330E+00
     0.196000000000000E+01  0.211179974509071E+00  0.289811505554824E-01  0.464776485478575E+01  0.637833077289437E+00
     0.197000000000000E+01  0.211057154543950E+00  0.291315798330449E-01  0.464947387946907E+01  0.641752798165414E+00
     0.198000000000000E+01  0.210933301773434E+00  0.292821520345687E-01  0.465119947222755E+01  0.645688134323920E+00
     0.199000000000000E+01  0.210808410274405E+00  0.294328768584306E-01  0.465294169598124E+01  0.649639451239202E+00
     0.200000000000000E+01  0.210682474301504E+00  0.295837641383408E-01  0.465470060774170E+01  0.653607118345100E+00
