#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.225999999999999E+01  0.154836661152062E+00  0.127832599555429E-01  0.641469560286896E+01  0.529594999123755E+00
     0.226999999999999E+01  0.154602181843367E+00  0.128400172363515E-01  0.642390429588482E+01  0.533517967860245E+00
     0.227999999999999E+01  0.154366280679662E+00  0.128978228574414E-01  0.643318753874171E+01  0.537514494215070E+00
     0.228999999999999E+01  0.154128961161557E+00  0.129566749238957E-01  0.644254557201018E+01  0.541585228563388E+00
     0.229999999999999E+01  0.153890226299504E+00  0.130165719729083E-01  0.645197865352368E+01  0.545730853288957E+00
     0.230999999999999E+01  0.153650078645226E+00  0.130775129802341E-01  0.646148705711745E+01  0.549952083371049E+00
     0.231999999999999E+01  0.153408520322024E+00  0.131394973658219E-01  0.647107107139286E+01  0.554249666955468E+00
     0.232999999999999E+01  0.153165553054029E+00  0.132025249987230E-01  0.648073099850298E+01  0.558624385912366E+00
     0.233999999999999E+01  0.152921178194464E+00  0.132665962013565E-01  0.649046715295739E+01  0.563077056383620E+00
     0.234999999999999E+01  0.152675396752977E+00  0.133317117532085E-01  0.650027986044232E+01  0.567608529321955E+00
     0.235999999999999E+01  0.152428209422094E+00  0.133978728940308E-01  0.651016945665416E+01  0.572219691024014E+00
     0.236999999999999E+01  0.152179616602885E+00  0.134650813266006E-01  0.652013628614157E+01  0.576911463658869E+00
     0.237999999999999E+01  0.151929618429868E+00  0.135333392190946E-01  0.653018070115521E+01  0.581684805793897E+00
     0.238999999999999E+01  0.151678214795236E+00  0.136026492071248E-01  0.654030306050004E+01  0.586540712918919E+00
     0.239999999999999E+01  0.151425405372468E+00  0.136730143954792E-01  0.655050372838827E+01  0.591480217969933E+00
     0.240999999999999E+01  0.151171189639354E+00  0.137444383596020E-01  0.656078307328970E+01  0.596504391853218E+00
     0.241999999999999E+01  0.150915566900537E+00  0.138169251468470E-01  0.657114146677578E+01  0.601614343970371E+00
     0.242999999999999E+01  0.150658536309593E+00  0.138904792775287E-01  0.658157928235462E+01  0.606811222744753E+00
     0.243999999999999E+01  0.150400096890719E+00  0.139651057457949E-01  0.659209689429431E+01  0.612096216149627E+00
