#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.228000000000000E+02  0.112846633319684E+01  0.506489078355073E+00  0.737575385658426E+00  0.331045655780640E+00
     0.229000000000000E+02  0.112998742423175E+01  0.507173476605290E+00  0.736581703760617E+00  0.330600761998838E+00
     0.230000000000000E+02  0.113373811791350E+01  0.507021060569572E+00  0.735032577210995E+00  0.328715239403407E+00
     0.231000000000001E+02  0.113942987470542E+01  0.505300918569858E+00  0.733398732287053E+00  0.325239017625744E+00
     0.232000000000001E+02  0.114651976594897E+01  0.501379215434477E+00  0.732184715465024E+00  0.320188285536552E+00
     0.233000000000001E+02  0.115424882633502E+01  0.494823625087486E+00  0.731861635984339E+00  0.313747278331749E+00
     0.234000000000001E+02  0.116173146533755E+01  0.485486960927089E+00  0.732806773242905E+00  0.306239560435004E+00
     0.235000000000001E+02  0.116808031007845E+01  0.473541817325973E+00  0.735264383881894E+00  0.298077477682258E+00
     0.236000000000001E+02  0.117253472254469E+01  0.459452038460582E+00  0.739333939838526E+00  0.289704414914635E+00
     0.237000000000001E+02  0.117455828479264E+01  0.443889189129457E+00  0.744982764589560E+00  0.281543963863369E+00
     0.238000000000001E+02  0.117388320696871E+01  0.427620824898957E+00  0.752073977835166E+00  0.273964643908129E+00
     0.239000000000001E+02  0.117050021858781E+01  0.411402620779437E+00  0.760399416679793E+00  0.267262071286622E+00
     0.240000000000001E+02  0.116460954665124E+01  0.395897948392211E+00  0.769709592490032E+00  0.261655461610142E+00
     0.241000000000001E+02  0.115655516258877E+01  0.381633690149079E+00  0.779736493919535E+00  0.257293145319886E+00
     0.242000000000001E+02  0.114676125985495E+01  0.368988299287162E+00  0.790208374323702E+00  0.254261854085528E+00
     0.243000000000001E+02  0.113568197102611E+01  0.358201539906055E+00  0.800857824246445E+00  0.252595808694311E+00
     0.244000000000001E+02  0.112376753331518E+01  0.349394602370406E+00  0.811425477810224E+00  0.252283211400811E+00
     0.245000000000001E+02  0.111144489548936E+01  0.342591876339081E+00  0.821662003350549E+00  0.253269171136417E+00
